text,labels
 Hahah a left telling a right he is making everything political   too fn funny!,0
 Im glad you do babe (I kiss you back) now lets get going you are coming tomorrow to the final right babe,0
 And I have concerns withDemocrats,0
 AS IT SHOULD BE!,0
 A horrendous act of course  Conservatives lie like they breath and are just generally awful human beings  I dont doubt the victims story even a tiny bit,1
 Isnt the NRA that propaganda pushing corporate lobby group that cares about profits and only profits? No idea who the rest of these crackpots are  That guy looks like he has an AR15 stuck up his ass ,1
 Fluffy was found ,0
 LMAOOO fucking love you see you hotties soon xox,1
 Another uninformed,0
 We ve got a big story coming out (most probably next week) about the Communist origins of Antifa  I hope you can join us ,0
 He should be removed with the rest of the islamic invaders ,1
 Rosie hugs him tight Hello Angy   She smiled happy  Im so happy that she is back and I bet you Levi will be here in a few seconds   Levi walks in and gasps  ROSIE!  Levi ran over making Jack smile ,0
 dont perpetuate colonialism  If you are going to talk about #puertorico you must have Puerto Ricans in the panel! Jeezuz fucking christ! How difficult can that be? #disporaenresistencia URL,0
 Even those who voted leave did not vote for this ,0
 Funny how he thinks he is soooo important   not   ,0
20180917: Don Pittis CBC: Is the People s Party of Canada liberal? It depends on the definition URL,0
 I just know my family lives out west  Hard core conservatives  They love Bernier  All their friends love him  That is going to split the party  Alberta is huge PC block  Not my politics but you cant choose family  ,0
 Eric who? Never heard of him  Must work for CNN,0
 How did Britain end up upside down in the ditch with all four wheels spinning lazily in the air?  How could it not  with the rabid wealth thirsty drunk on power  at the wheel? #BritishToryCarCrash #ToriesOut ,0
 Hes comin for ur woolly bitches,1
 Quick Preview Summary: Blame Democrats Blame Obama Blame gun control Blame blacks (passively) Blame Democrats,1
 man can we hang out you are hilarious,0
 Suddenly BozoObama is NOT politician    &amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa BLM OWS  movements  &amp; didn t fund our US military as B4 for 8 yrs but GAVE WORLD SPONSER OF TERROR IRAN $170  bil    NOOO!; not ol  ISIS-LOVER  Bama  ,0
 Hmm cats and dogs are not raised as food  But I understand what you are saying ,0
 Now I see why the Conservatives love him!,0
 Its Good for our Gun Business  More Guns sell when these people bring up Gun Control  Keep up the Great Work  Guns for All ,1
 Agree  People forgetting how good he is ,0
 Aww  I tried lol  She is such a smart ass though ,0
 Why didn t she save her grandfather in Puerto Rico if she had that kind of cash? Bc She is socialist ,0
 Sir now to Russia    Putin is broke and a little bit crazy   The paltry 1 7 Trillion GDP might cause desperate actions from his dying regime  Denuclearization in exchange for oil patch tech  Thats all they have   Sir  MAGA,1
 As we should declare ANTIFA a terrorists group and investigate all of it s members ,0
 shes dead ass serious too  Smdh,0
 Conservatives Are NOT his fan base have not been forever!!!!! Just trying to take out #Beto support and this is BS!!!,0
 More people scared of what the Liberals will think and say about them  This is rampant around conservatives  The only ones who ever stopped giving them that power were the Trump movement and they absolutely won everything including the internets ,0
 Fresh boy think he is strong ,0
 Not by the tea leaves you use by simple logic  You know that thing that comes from common sense  Right no you don t know  Winning Deplorables MAGA God Bless you ,0
 hey Samsung on your website you declined me  2 times for credit I can afford your phone without your ass this is my second one maybe next time even though I hate iPhone I ll buy iPhone so screw you,1
 I seriously have no more words for how fucked up he is  Every time I think I found the word he does something even more despicable &amp; disgusting  The best I can do is hope that he chokes in his own vomit for all of the stupid lies he s told  Like a serial killer he has no soul  ,1
 Nope  Not going to miss his sorry ass at all ,1
 And apparently Serenas cheating and temper tantrum was the only pathway to this endeavor ,0
 Dirk isn t a plumber  He is top 25 all time  Dan Majerle and Danny Ainge shoudn t be mentioned in the same breath as him ,0
 Gail has dropped far if she is going after actors like Rob to deal with the frustration of being a has-been   ,1
 You just said publicly aligns with neo Nazis  I asked which and you cant answer got it  Source for your ambush tactics please  By your definitions Im not sure you know what a paramilitary is  Do you classify Antifa as paramilitary?,0
 confession  i was pregnant with your child after our second makeout  he is 7 years old tomorrow ,0
 Cube has shown in the past that he is not in control of this  The investors on the board run the show  And they are super cheap ,1
 I still can t believe that you are 51 years old and yes your mom gave you some great genes,0
 The GOP has blood on their hands  GUN CONTROL!!!,1
 Do it with quran and then we will see how much atheist and brave she is    hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it    Go live in your 2 minutes Prime Time covered life     Lord krishna and his followers don t care,1
 Did I say that no typical liberals,0
 Gun control kills 3 more people ,1
 Mr  Woods    Please help if you will  has published an ANTIFA target list on his Twitter Account with names of high profile and other Trump supporters  I have reported this to Twitter  They have NOT suspended his account ,0
 Dear Lord  Do you have a CLUE what the Black Panthers stood for? The STILL stands for SENSIBLE Gun control Laws  We have LAWS already in place to prevent people who should NEVER own firearms from EVER obtaining them  NOW? Talk to your LEO about ENFORCING them  GUNS arent,0
 Well  see  if I start talking at Dana about sensible gun control laws and she ignores me (or calls me a tragedy dry-humping whore  as she did then we aren t having a conversation  I m just talking into the void  ,1
 He is ,0
 Hey genius Hitler was dead two years before Trump was born ,0
 Mickie is 39 now? She is on her way out ,0
 Families being separated at the border  In fact  the picture of children in cages that Liberals were using to show how evil  Trump is was actually taken while OBAMA was President ,0
  We did a great job of electing and a terrible job of who we sent to congress to support him Conservatives left frustrated as Congress passes big spending bills URL,0
 She took a polygraph to prove something to her husband  I think they were in counseling because she is frigid with her husband and he wants to know why  So she made up a cockamamy story as a coverup for her current lesbian affair ,0
 He is an awesome dog  Almost worth the trip,0
 If the conservatives  aren t standing up against Dumpster s unconstitutional and illegal activities  then they are just as complicit as he  and henceforth  supporting the tangerine toddler s policies and actions  FFS  be Americans before party loyalists  Or else we all lose  ,0
 Anyway she is a man and a mother  it s about time she gave it to an actual female  Congratulations to Naomi! She has class &amp; skills! ,0
 I have backtraced your IP and have sent you information to AntiFa ,0
 You are welcome  ,0
 Chris You are just stiring the pot and it is a political dig  How about Texas how were things handled there  PR was a totally different situation  How did you help?,0
 You act like that won t be fun for both of us   She contemplates getting down  he s been gone for a few minutes and she s just standing on a chair like a weirdo  Just as she is about to get down she sees him walk through the door   Technically I only thought about it   ,0
 Also he supports antifa,0
 #Westminster #Tories Absolutely pathetic #appeasement ,1
 you are amazing,0
 Drill baby drill,0
 But what makes you think they are liberals? There is nothing liberal about any of that  These people spent the  90s insulting liberals  publicly humiliating black activists  and openly attacking the New Deal  Where is the liberal  part? They passed GOP policies! ,1
&gt;Literally runs through the wall  There was now a hole  Master! You are okay? URL,0
 If you want to #MAGA: 1  Stop Intellectual Property theft by China  2  Pivot away from China and give business to other Asia countries  3  Ask US business to move to other countries 4  Tax reciprocally 5  Make Xi look weak! Demolish South China Sea  Xi is a crook! ,1
