id,text,labels
24590,@USER @USER @USER @USER @USER Hahah a left telling a right he is making everything political.. too f’n funny!,0
19287,@USER @USER I’m glad you do babe (I kiss you back) now let’s get going you are coming tomorrow to the final right babe,0
44676,@USER And I have concerns with”Democrats”,0
96110,@USER AS IT SHOULD BE!,0
51557,@USER @USER A horrendous act of course. Conservatives lie like they breath and are just generally awful human beings. I don’t doubt the victims story even a tiny bit,1
65691,@USER @USER Isnt the NRA that propaganda pushing corporate lobby group that cares about profits and only profits? No idea who the rest of these crackpots are. That guy looks like he has an AR15 stuck up his ass.,1
15657,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Fluffy was found 🐈❤️💙🐾‼️,0
37753,@USER @USER LMAOOO fucking love you see you hotties soon xox,1
33797,@USER Another uninformed,0
30091,@USER We've got a big story coming out (most probably next week) about the Communist origins of Antifa. I hope you can join us @USER,0
55028,@USER He should be removed with the rest of the islamic invaders.,1
87412,"@USER Rosie hugs him tight Hello Angy."" She smiled happy ""Im so happy that she is back and I bet you Levi will be here in a few seconds."" Levi walks in and gasps ""ROSIE!"" Levi ran over making Jack smile""",0
63262,@USER @USER @USER don’t perpetuate colonialism. If you are going to talk about #puertorico you must have Puerto Ricans in the panel! Jeezuz.fucking.christ! How difficult can that be? #diásporaenresistencia URL,0
97608,@USER @USER @USER Even those who voted leave did not vote for this @USER @USER,0
17536,@USER Funny how he thinks he is soooo important...not...😂,0
36557,20180917: Don Pittis CBC: Is the People's Party of Canada liberal? It depends on the definition URL,0
66467,@USER I just know my family lives out west. Hard core conservatives. They love Bernier. All their friends love him. That is going to split the party. Alberta is huge PC block. Not my politics but you can’t choose family. 🙄,0
63995,@USER Eric who? Never heard of him. Must work for CNN,0
19765,"@USER  How did Britain end up upside down in the ditch with all four wheels spinning lazily in the air?""  How could it not, with the rabid wealth thirsty @USER drunk on power, at the wheel?  #BritishToryCarCrash #ToriesOut""",0
75391,@USER @USER @USER @USER Hes comin for ur woolly bitches,1
89422,@USER @USER Quick Preview Summary:  Blame Democrats Blame Obama Blame gun control Blame blacks (passively) Blame Democrats,1
16311,@USER man can we hang out you are hilarious,0
33193,"@USER Suddenly BozoObama is NOT politician""...&amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa,BLM,OWS ""movements"" &amp; didn't fund our US military as B4 for 8 yrs,but GAVE WORLD SPONSER OF TERROR IRAN $170. bil... NOOO!; not ol' ISIS-LOVER 'Bama.""",0
76974,@USER @USER @USER Hmm cats and dogs are not raised as food. But I understand what you are saying.😊,0
53573,@USER @USER Now I see why the Conservatives love him!,0
13670,@USER It’s Good for our Gun Business. More Guns sell when these people bring up Gun Control. Keep up the Great Work. Guns for All.,1
79273,@USER Agree. People forgetting how good he is.,0
67181,@USER Aww. ☺️ I tried lol. She is such a smart ass though 😂,0
82136,@USER @USER Why didn't she save her grandfather in Puerto Rico if she had that kind of cash? Bc She is socialist.,0
61302,@USER @USER Sir now to Russia....Putin is broke and a little bit crazy...The paltry 1.7 Trillion GDP might cause desperate actions from his dying regime. Denuclearization in exchange for oil patch tech. Thats all they have.. Sir..MAGA,1
72281,@USER As we should declare ANTIFA a terrorists group and investigate all of it's members.,0
92488,@USER 🤦🏾‍♀️ she’s dead ass serious too. Smdh,0
13902,@USER Conservatives Are NOT his fan base have not been forever!!!!! Just trying to take out #Beto support and this is BS!!!,0
83999,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER More people scared of what the Liberals will think and say about them. This is rampant around conservatives.  The only ones who ever stopped giving them that power were the Trump movement and they absolutely won everything including the internets.,0
17691,@USER Fresh boy think he is strong 😂,0
13020,@USER @USER @USER Not by the tea leaves you use by simple logic. You know that thing that comes from common sense.  Right no you don't know.  Winning Deplorables MAGA God Bless you.,0
57645,@USER hey Samsung on your website you declined me. 2 times for credit I can afford your phone without your ass this is my second one maybe next time even though I hate iPhone I'll buy iPhone so screw you,1
37524,@USER I seriously have no more words for how fucked up he is. Every time I think I found the word he does something even more despicable &amp; disgusting. The best I can do is hope that he chokes in his own vomit for all of the stupid lies he's  told. Like a serial killer he has no soul..,1
33810,@USER Nope. Not going to miss his sorry ass at all.,1
34020,@USER And apparently Serena’s cheating and temper tantrum was the only pathway to this endeavor.,0
13253,@USER @USER @USER @USER @USER @USER Dirk isn't a plumber. He is top 25 all time. Dan Majerle and Danny Ainge shoudn't be mentioned in the same breath as him.,0
